name,author,intro
Android编程权威指南（第3版）,"

Bill Phillips                    ?

Chris Stewart                    ?

Kristin Marsicano                    ?

            ",Big Nerd Ranch是美国一家专业的移动开发技术培训机构。本书主要以其Android训练营教学课程为基...

皮肤的心机：身体边界的另一面,"

[日]傅田光洋                    ?

            ",皮肤为人体最大器官，也是身体与环境的“边界”，但它并非只是一层包裹身体的“皮囊”，而是生命适应环境的“谋略与心...

Arduino：从想象到现实（入门篇）,郑泽坤,书中介绍了Arduino的定义和分类，制作Arduino时的必需品及购买方法，还讲解了Arduino与PC的连...

Android安全攻防实践,"

Srinivasa Rao Kotipalli                    ?

Mohammed A. Imran                    ?

            ",本书以搭建安卓安全所需的实验环境开篇，首先介绍了ROOT安卓设备的常用工具和技术，并分析了安卓应用的基本架构，...

数学女孩3：哥德尔不完备定理,"

结城浩                    ?

            ",《数学女孩》系列以小说的形式展开，重点描述一群年轻人探寻数学中的美。内容由浅入深，数学讲解部分十分精妙，被称为...

游戏设计信条：从创意到制作的设计原则,"

Marc Albinet                    ?

            ",本书是游戏设计的实用参考指南，全面介绍了电子游戏的设计理念和基本方法。作者综合各方面知识，剖析游戏的设计规则和...

物理奇遇记,"

乔治·伽莫夫                    ?

            ",汤普金斯先生是一家大的城市银行里的一个小职员。他对现代物理学感兴趣，但像很多人一样，物理理论的长篇大论让他昏昏...

机器学习：理论、实践与提高,"

[法] Massih-Reza Amini                    ?

            ",本书是机器学习理论与算法的参考书目，从监督、半监督学习的基础理论开始，本书采用简单、流行的C语言，逐步介绍了最...

码农·解锁机器学习（第30期）,,“人工智能”这一概念的出现可以追溯到20世纪50年代，真正进入公众视野、引起大众广泛讨论应该是IBM公司“深蓝...

算法图解,袁国忠,"

【主要内容】

本书示例丰富，图文并茂，以简明易懂的方式阐释了算法，旨在帮助程序员在日常项目中更好地利用算..."

C++性能优化指南,杨文轩,本书是一本C++代码优化指南。作者精选了他在近30年编程生涯中最频繁使用的技术和能够带来最大性能提升效果的技术...

码农·人工智能小谈（第32期）,,阿兰·图灵于1936年发表了他的那篇题为“论可计算数及其在判定性问题上的应用”的论文，在文章中他构造了“图灵机...

学习JavaScript数据结构与算法（第2版）,"

[巴西] Loiane Groner                    ?

            ",本书首先介绍了JavaScript 语言的基础知识以及ES6 和ES7 中引入的新功能，接下来讨论了数组、栈、...

程序员的算法趣题,绝云,本书是一本解谜式的趣味算法书，从实际应用出发，通过趣味谜题的解谜过程，引导读者在愉悦中提升思维能力、掌握算法精...

57招搞定信息图,"

李寿童                    ?

宋政洙                    ?

            ",信息图不仅是信息的可视化，更是重构信息本质的重要工具。如何通过简单明了的图形图像传递数据、思维、沟通与表达的重...

TensorFlow入门与实战,"

罗冬日                    ?

            ",TensorFlow是2015年年底开源的一套深度学习框架，是目前最活跃的深度学习框架。本书基于1.3版本，首...

Python数据处理,张亮,本书采用基于项目的方法，介绍用Python完成数据获取、数据清洗、数据探索、数据呈现、数据规模化和自动化的过程...

Python数据分析基础,陈光欣,本书展示如何用 Python 程序将不同格式的数据处理和分析任务规模化和自动化。主要内容包括 ：Python ...

稀疏统计学习及其应用,"

Trevor Hastie                    ?

Robert Tibshirani                    ?

Martin Wainwright                    ?

            ",稀疏统计模型只具有少数非零参数或权重，经典地体现了化繁为简的理念，因而广泛应用于诸多领域。本书就稀疏性统计学习...

奢侈与数字：数字时代品牌生存之道,"

 [法]埃里克?布欧纳 等                     ?

            ",轰轰烈烈的数字风潮不会放过任何一个行业，奢侈业也一样。精致、尖端、小众，拥有百年历史和丰厚底蕴的知名品牌，金碧...

2018图灵图书目录,,【图灵教育】 图灵教育是国内计算机图书最有影响力的高端品牌之一。公司始终以策划高质量的科技图书为核心业务，成立...

精通机器学习：基于R（第2版）,陈光欣,机器学习是近年来的热门技术话题，R语言是处理其中大量数据的有力工具。本书为读者提供机器学习和R语言的坚实算法基...

图解Java多线程设计模式,杨文轩,本书通过具体的Java 程序，以浅显易懂的语言逐一说明了多线程和并发处理中常用的12 种设计模式。内容涉及线程...

用数据讲故事,"

【美】Cole Nussbaumer Knaflic                    ?

            ",本书通过大量案例研究介绍数据可视化的基础知识，以及如何利用数据创造出吸引人的、信息量大的、有说服力的故事，进而...

UX设计师要懂工业设计,"

Simon King                    ?

Kuen Chang                    ?

            ",本书详细介绍了工业设计中一些常用的原则和方法，通过大量详实的案例帮助人们理解新时代的工业设计。主要内容包括：理...

金桢勋的数学随笔,李阳,本书是数学高手金桢勋为那些恐惧数学的人撰写的“温暖而幽默的数学故事”。他用亲切而生动的语言讲解了“学业轶事”和...

Java机器学习,武传海,本书介绍如何使用Java创建并实现机器学习算法，既有基础知识，又提供实战案例。主要内容包括：机器学习基本概念、...

Angular权威教程,"

Ari Lerner; Felipe Coury; Nate Murray; Carlos Taborda                    ?

            ","

【内容摘要】

本书堪称Angular领域的里程碑式著作，涵盖了关于Angular的几乎所有内容。对于没有..."

预测分析与数据挖掘：RapidMiner实现,"

Vijay Kotu                    ?

            ",本书旨在帮助读者理解数据挖掘方法的基础知识，并实现无需编写代码就能在自己的工作中实践这些方法。书中围绕分类、回...

Ruby基础教程（第5版）,何文斯,《Ruby基础教程（第5版）》由Ruby之父松本行弘亲自审校并作序推荐。本书支持Ruby2.3，通俗易懂地讲解...

利用Python开源工具分析恶意代码,武传海,恶意代码分析过程中，最重要的是掌握恶意代码的特征，此时需要灵活运用线上服务的快速分析数据和主要恶意代码的数据库...

生命是什么,"

王立铭                    ?

            ",本书通过生动的文笔和有趣有料的生物学故事，揭开了生命科学神秘的面纱，不仅生动地解读了生命的定义及奥秘，而且详细...

算法小时代：从数学到生活的历变,"

[法] 瑟格·阿比特博 吉尔·多维克                    ?

            ",算法与人工智能是当下最热门的话题之一，技术大发展的同时也引发了令人忧心的技术和社会问题。本书生动介绍了算法的数...

几何世界的邀请,"

小平邦彦(Kunihiko Kodaira)                    ?

            ",平面几何是观察判断与逻辑思考的精妙结合，是初等数学教育中培育创造力的好途径。本书为日本数学家、菲尔兹奖得主小平...

Arduino技术指南,武传海,本书主要讲解了Arduino开发板的物理特性与接口功能，Arduino使用的各种AVR微控制器，Arduino...

SQL基础教程（第2版）,罗勇,本书是畅销书《SQL基础教程》第2版，介绍了关系数据库以及用来操作关系数据库的SQL语言的使用方法。书中通过丰...

用户思维+：好产品让用户为自己尖叫,"

Kathy Sierra                    ?

            ",畅销产品与普通产品的本质区别是什么？若没有巨额预算、不爱营销噱头、不开奢华的产品发布会，如何打造可持续成功的产...

精通Git（第2版）,门佳,Git仅用了几年时间就一跃成为了几乎一统商业及开源领域的版本控制系统。本书全面介绍Git进行版本管理的基础和进...

舌尖上的科学：口腹之乐何处来,"

崔洛堰                    ?

            ",本书由甜、酸、咸、鲜、苦五味入手，通过味觉、嗅觉、触觉、听觉、视觉五感讲解联觉机制，从食品学、生理学、脑科学、...

修改软件的艺术：构建易维护代码的9条最佳实践,"

David Scott Bernstein                    ?

            ",本书会帮你降低构建与维护软件的成本。如果你是软件开发者，将学到一套实践方法以构建易修改的代码，因为在应用当中代...

精益设计：设计团队如何改善用户体验（第2版）,"

Jeff Gothelf                    ?

Josh Seiden                    ?

            ","本书作者根据精益创业法的理念归纳出了行之有效的精益设计方法，让设计团队可以用

更低的成本、更高的效率设计出更..."

R数据挖掘入门,"

山本义郎、藤野友和、久保田贵文                    ?

            ",本书使用R，结合大量实例，详细介绍了数据挖掘的理论和分析方法。全书分为3部分：第1部分简单介绍了使用R进行数据...

亲爱的界面：让用户乐于使用、爱不释手（第2版）,杨文梁,本书主要介绍如何设计出具有可用性的应用程序和网站，不但让用户乐于使用，而且令其爱不释手。可用性是设计大厦的基石...

CSS重构：样式表性能调优,"

Steve Lindstrom                    ?

            ",本书作为CSS重构指南，不仅展示了如何编写结构合理的CSS，以构建响应式、易于使用的网站，还介绍了如何用重构方...

精通Metasploit渗透测试（第2版）,"

Nipun Jaswal                    ?

            ",本书介绍了时下流行的渗透测试框架——Metasploit。书中从其基本功能和传统使用方式开始，讲解编写Meta...

惰者集：数感与数学,"

小平邦彦(Kunihiko Kodaira)                    ?

            ",理解数学需要具备一种纯粹的感觉，即“数感”。本书为日本数学家、菲尔兹奖与沃尔夫奖得主小平邦彦先生的思想随笔文集...

编程风格：好代码的逻辑,"

Cristina Videira Lopes                    ?

            ",本书对一个常见的编程问题定义了不同的约束，分别使用33种方法实现了同一个词频统计任务，从而形成了风格迥异的编程...

时间旅行简史,楼伟珊,可以说，这是一个穿越横行的时代。层出不穷的穿越题材的小说、动漫、影视剧，引发了人们的持续关注，也激起了人们的无...

同构JavaScript应用开发,张俊达,本书将向你展示如何构建和维护属于自己的同构JavaScript应用。全书分为三部分，第一部分描绘不同种类的同构...

你不可不知的50个艺术知识（修订版）,楼伟珊,威廉·莫里斯曾说过：“不要在房子内放置一件你认为没有用或不美丽的东西。”然而，在努力追寻美的过程中，我们时常会...

React Native应用开发实例解析,林昊,使用React Native可以轻松开发跨平台应用，并且无需等待Apple、Google或者Amazon的审核...

前端架构设计,"

[美]Micah Godbolt                    ?

            ",本书展示了一名成熟的前端架构师对前端开发全面而深刻的理解。作者结合自己在Red Hat公司的项目实战经历，探讨...

Lua设计与实现,"

codedump                    ?

            ",本书基于Lua 5.1.4版本讨论了Lua语言的设计原理，全书共分三部分：第一部分讲解数据结构（如通用数据是如...

码农·打破“性能”瓶颈（第31期）,,本期《码农》意在帮助那些对性能问题还不太关注，以及对性能一知半解的程序员快速了解性能调优方面的知识。“专题”一...

漫画遗传学：从豌豆实验到精准医疗,"

豌豆Sir团队                    ?

            ",本书按时间顺序讲述了遗传学历史上的重大里程碑事件以及科学发现故事——从孟德尔种豌豆开始经典遗传学，到DNA的发...

深入理解SVG,"

Amelia Bellamy-Royds                    ?

            ",本书介绍SVG绘画，包括基础知识和如何通过混合和搭配工具来生成复杂的效果。主要内容包括：把SVG代码转换为可视...

第一行代码——Android（第2版）,"

郭霖                    ?

            ","<内容简介>

本书被Android开发者誉为“Android学习第一书”。全书系统全面、循序渐进地介绍了An..."

